DEPTH d	VALUE d
1379.46500000	37.78787807
1385.25500000	36.45341484
1385.51000000	35.92784851
1385.70000000	35.11990447
1386.08000000	33.99943097
1386.24500000	35.33118068
1386.41000000	34.88064856
1386.71500000	34.20125218
1388.67500000	32.32365246
1398.80500000	32.77678119
1404.25000000	31.52256153
1404.52000000	32.29204455
1404.79000000	33.28981047
1405.00500000	34.02451517
1405.37000000	35.15613369
1405.52000000	35.00922937
1406.84500000	33.98168570
1408.17000000	33.80375136
1414.61000000	36.72167777
1414.79000000	38.81897858
1414.91000000	38.34797346
1415.03000000	40.26435552
1422.73500000	38.55863605
1430.76500000	37.93303305
1433.45000000	43.52525335
1435.81000000	42.46671660
1437.99500000	44.93762759
1440.18000000	41.58786048
1443.05500000	40.26393734
1445.93000000	43.80639881
1447.71000000	40.50632399
1451.77500000	41.41594917
1455.84000000	39.74307363
1459.17500000	39.14886447
1464.53000000	35.07926679
1465.05000000	33.02893941
1465.29000000	34.90819693
1465.53000000	34.53209340
1465.68000000	34.25059443
1465.83000000	34.41285066
1479.83000000	46.94758827
1486.55000000	33.31485238
1493.27000000	37.41454230
1493.96500000	31.03891004
1494.66000000	34.04836668
1504.23000000	42.84051141
1505.56500000	40.75628434
1506.90000000	37.85878000
1507.40500000	34.97318292
1519.12000000	31.93232919
1522.18000000	31.82654284
1523.19000000	30.61054172
1524.20000000	40.84337132
1557.68000000	36.47891203
1564.54000000	29.44742666
1565.29500000	33.82833967
1565.96500000	28.14799188
1569.35000000	28.28850744
1572.65000000	16.57692588
1590.49000000	34.75773989
1593.40000000	37.10614004
1593.79500000	39.88659657
1594.19000000	39.69335111
1594.92500000	37.26441896
1595.66000000	38.71905738
1596.30500000	37.20598005
1599.20500000	39.71358724
1601.46000000	40.68959616
1603.98500000	38.15629208
1606.51000000	37.83401024
1608.24000000	36.41314024
1609.97000000	36.17499175
1611.54000000	37.23486473
1611.97500000	34.85981835
1612.41000000	36.33389739
1617.37000000	42.96292948
1622.53500000	43.95977217
1627.79000000	52.71214975
1628.64000000	46.17082247
1629.49000000	45.26686766
1632.59000000	47.47418364
1636.12000000	40.37785463
1636.55000000	47.72888781
1657.86000000	67.71687251
1663.63000000	55.18451953
1664.21000000	49.14242421
1664.96000000	45.04338059
1665.13000000	43.83309157
1665.26000000	43.07411533
1665.39000000	42.30628941
1694.74000000	47.04323220
1717.25000000	58.98342822
1725.89000000	53.13880638
1734.53000000	49.69756314
1736.73500000	46.97691211
1737.05000000	48.08722358
1739.90500000	48.97877592
1742.76000000	60.25782654
1758.44000000	72.24664892
1763.65500000	74.14619864
1763.77000000	60.77639066
1767.11000000	61.61518815
1774.12500000	59.78694248
1777.95500000	61.66585829
1782.66000000	57.73986080
1782.78000000	62.18673589
1783.00000000	54.08949484
1783.27000000	48.78998214
